0.595,0.802,0.792,0.509,0.5,0.304,0.294,0.39,0.398,0.289,0.705,0.267,1107,202
0.191,0.194,0.405,0.726,0.36,0.492,0.167,0.456,0.797,0.506,0.256,0.586,1097,202
0.241,0.776,0.61,0.171,0.401,0.836,0.782,0.396,0.919,0.728,0.151,0.697,1096,205
0.731,0.597,0.282,0.563,0.776,0.316,0.909,0.508,0.51,0.448,0.233,0.708,1094,206
0.642,0.839,0.317,0.897,0.288,0.328,0.195,0.254,0.659,0.269,0.525,0.19,1070,206
0.305,0.869,0.388,0.693,0.315,0.184,0.602,0.866,0.731,0.336,0.23,0.657,1069,206
0.721,0.748,0.704,0.536,0.792,0.269,0.638,0.881,0.761,0.446,0.797,0.739,1045,207
0.814,0.29,0.496,0.334,0.411,0.242,0.332,0.545,0.137,0.232,0.201,0.836,1016,209
0.327,0.704,0.446,0.432,0.552,0.739,0.3,0.331,0.323,0.325,0.197,0.334,1015,212
0.304,0.864,0.364,0.173,0.255,0.334,0.695,0.467,0.512,0.468,0.792,0.517,1014,213
0.249,0.689,0.556,0.482,0.65,0.675,0.633,0.25,0.414,0.536,0.685,0.401,1004,222
0.608,0.425,0.816,0.22,0.419,0.593,0.202,0.41,0.602,0.14,0.231,0.223,1004,226
0.251,0.251,0.436,0.759,0.648,0.183,0.663,0.686,0.663,0.67,0.115,0.411,1002,227
0.283,0.626,0.434,0.526,0.728,0.76,0.621,0.959,0.707,0.469,0.909,0.181,991,227
0.54,0.319,0.466,0.36,0.247,0.278,0.073,0.286,0.479,0.237,0.402,0.096,984,228
0.34,0.271,0.194,0.381,0.658,0.257,0.385,0.806,0.22,0.728,0.808,0.374,975,229
0.204,0.21,0.364,0.539,0.456,0.301,0.658,0.517,0.735,0.347,0.205,0.772,957,230
0.798,0.726,0.377,0.313,0.375,0.545,0.153,0.747,0.269,0.42,0.676,0.359,955,234
0.762,0.291,0.136,0.477,0.527,0.946,0.837,0.59,0.353,0.337,0.168,0.629,946,235
0.396,0.245,0.512,0.307,0.439,0.187,0.675,0.726,0.187,0.605,0.39,0.601,904,236
0.19,0.755,0.249,0.342,0.371,0.65,0.522,0.393,0.287,0.694,0.525,0.433,890,239
0.217,0.634,0.708,0.193,0.347,0.704,0.503,0.809,0.659,0.651,0.253,0.723,870,244
0.605,0.179,0.345,0.748,0.872,0.252,0.307,0.085,0.227,0.575,0.512,0.378,861,244
0.296,0.781,0.755,0.428,0.181,0.182,0.44,0.87,0.215,0.058,0.259,0.713,854,252
0.275,0.587,0.822,0.199,0.543,0.75,0.252,0.615,0.611,0.155,0.263,0.239,854,253
0.223,0.324,0.406,0.521,0.442,0.758,0.642,0.993,0.22,0.225,0.326,0.508,836,253
0.15,0.713,0.532,0.37,0.336,0.771,0.62,0.337,0.285,0.291,0.738,0.131,820,259
